name,street,city,visit,infractions
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2016-05-19,Hand washing basin with supplies of soap and paper towels in dispensers
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2016-05-19,Toxic / poisonous substances (chemicals/pesticides) to be stored separately from food
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2015-05-25,Liquid wastes handled and collected in sanitary manner
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2015-05-25,Proper use and storage of clean utensils (including single service utensils)
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2015-05-25,No infractions found at the time of inspection
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,"Equipment, non-food contact surfaces and linen are maintained, designed, constructed, installed and accessible for cleaning"
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,Frequency of garbage removal adequate to maintain the premises in a sanitary condition
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,Proper use and storage of clean utensils (including single service utensils)
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,Food protected from potential contamination and adulteration
Antico,6 Village Court,Sault Ste. Marie,2017-07-12,"Manual dishwashing: Wash, rinse, sanitize technique"
Antico,6 Village Court,Sault Ste. Marie,2017-04-19,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Antico,6 Village Court,Sault Ste. Marie,2017-04-19,Proper use and storage of clean utensils (including single service utensils)
Antico,6 Village Court,Sault Ste. Marie,2017-04-19,Separate raw foods from ready-to-eat foods during storage and handling
Antico,6 Village Court,Sault Ste. Marie,2016-10-26,Food protected from potential contamination and adulteration
Antico,6 Village Court,Sault Ste. Marie,2016-10-26,No condemnation / seizure required
Antico,6 Village Court,Sault Ste. Marie,2016-10-26,Proper use and storage of clean utensils (including single service utensils)
Antico,6 Village Court,Sault Ste. Marie,2016-10-26,Separate hand washing basin provided for food handlers
Antico,6 Village Court,Sault Ste. Marie,2016-10-26,Toxic / poisonous substances (chemicals/pesticides) to be stored separately from food
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2016-11-30,No infractions found at the time of inspection
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2016-11-30,No infractions found at the time of inspection
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2016-11-29,No infractions found at the time of inspection
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2016-11-29,"Food contact surfaces properly designed, constructed, installed and maintained"
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2016-11-29,Food is held at 4°C (40°F) or less
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2016-11-29,Food protected from potential contamination and adulteration
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2014-11-18,No infractions found at the time of inspection
APH - Community Kitchen,294 Willow Avenue,Sault Ste. Marie,2014-11-18,No infractions found at the time of inspection
Arby's,258 Great Northern Road,Sault Ste. Marie,2017-06-02,No infractions found at the time of inspection
Arby's,258 Great Northern Road,Sault Ste. Marie,2017-06-02,No infractions found at the time of inspection
Arby's,258 Great Northern Road,Sault Ste. Marie,2016-07-07,No infractions found at the time of inspection
Arby's,258 Great Northern Road,Sault Ste. Marie,2016-07-07,Separate hand washing basin provided for food handlers
Arby's,258 Great Northern Road,Sault Ste. Marie,2015-04-27,No infractions found at the time of inspection
Arby's,258 Great Northern Road,Sault Ste. Marie,2015-04-27,No infractions found at the time of inspection
Arthur Henderson Breakfast program,2 Henderson Lane,Bruce Mines,2017-11-01,No infractions found at the time of inspection
Arthur Henderson Breakfast program,2 Henderson Lane,Bruce Mines,2017-11-01,No infractions found at the time of inspection
Arthur Henderson Breakfast program,2 Henderson Lane,Bruce Mines,2016-11-09,No infractions found at the time of inspection
Arthur Henderson Breakfast program,2 Henderson Lane,Bruce Mines,2016-11-09,No infractions found at the time of inspection
Arthur Henderson Breakfast program,2 Henderson Lane,Bruce Mines,2015-12-04,No infractions found at the time of inspection
Arthur Henderson Breakfast program,2 Henderson Lane,Bruce Mines,2015-12-04,No infractions found at the time of inspection
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2017-08-23,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2017-08-23,Food protected from potential contamination and adulteration
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2017-08-23,Hand washing basin with supplies of soap and paper towels in dispensers
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2017-04-07,"Floors, walls, and ceilings clean and in good repair"
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2017-04-07,No infractions found at the time of inspection
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2016-12-07,"Floors, walls, and ceilings clean and in good repair"
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2016-12-07,Separate raw foods from ready-to-eat foods during storage and handling
Arturo's Ristorante,515  Queen Street,Sault Ste. Marie,2016-12-07,No infractions found at the time of inspection
Au Jardin de Pierrot,43 Scott Street,Blind River,2017-10-11,No infractions found at the time of inspection
Au Jardin de Pierrot,43 Scott Street,Blind River,2017-10-11,No infractions found at the time of inspection
Au Jardin de Pierrot,43 Scott Street,Blind River,2017-02-27,Hot holding: minimum of 60°C (140°F) after cooking / rapid re-heating
Au Jardin de Pierrot,43 Scott Street,Blind River,2017-02-27,No infractions found at the time of inspection
Au Jardin de Pierrot,43 Scott Street,Blind River,2016-08-30,Proper use and storage of clean utensils (including single service utensils)
Au Jardin de Pierrot,43 Scott Street,Blind River,2016-08-30,No infractions found at the time of inspection
Auberge Eldo Inn,Highway 17,Blind River,2017-05-16,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Auberge Eldo Inn,Highway 17,Blind River,2017-05-16,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Auberge Eldo Inn,Highway 17,Blind River,2017-05-16,Thermometers used to verify food preparation and storage temperatures;
Auberge Eldo Inn,Highway 17,Blind River,2017-05-16,No infractions found at the time of inspection
Auberge Eldo Inn,Highway 17,Blind River,2016-04-20,No infractions found at the time of inspection
Auberge Eldo Inn,Highway 17,Blind River,2016-04-20,No infractions found at the time of inspection
Auberge Eldo Inn,Highway 17,Blind River,2015-06-09,Manual or mechanical dishwashing provided
Auberge Eldo Inn,Highway 17,Blind River,2015-06-09,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Auberge Eldo Inn,Highway 17,Blind River,2015-06-09,No infractions found at the time of inspection
Auberge Spanish River Inns,125 Front Street,Spanish,2017-10-27,No infractions found at the time of inspection
Auberge Spanish River Inns,125 Front Street,Spanish,2017-10-27,No infractions found at the time of inspection
Auberge Spanish River Inns,125 Front Street,Spanish,2017-02-17,No infractions found at the time of inspection
Auberge Spanish River Inns,125 Front Street,Spanish,2017-02-17,No infractions found at the time of inspection
Auberge Spanish River Inns,125 Front Street,Spanish,2016-11-04,No infractions found at the time of inspection
Auberge Spanish River Inns,125 Front Street,Spanish,2016-11-04,No infractions found at the time of inspection
Aubrey Falls Trading Post,Highway 129,Villeneuve Township,2017-06-02,No infractions found at the time of inspection
Aubrey Falls Trading Post,Highway 129,Villeneuve Township,2017-06-02,No infractions found at the time of inspection
Aubrey Falls Trading Post,Highway 129,Villeneuve Township,2016-08-18,No infractions found at the time of inspection
Aubrey Falls Trading Post,Highway 129,Villeneuve Township,2016-08-18,No infractions found at the time of inspection
Aubrey Falls Trading Post,Highway 129,Villeneuve Township,2015-11-02,No infractions found at the time of inspection
Aubrey Falls Trading Post,Highway 129,Villeneuve Township,2015-11-02,No infractions found at the time of inspection
Aubrey Falls Trading Post Restaurant,Highway 129,Villeneuve Township,2017-10-26,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Aubrey Falls Trading Post Restaurant,Highway 129,Villeneuve Township,2017-10-26,No infractions found at the time of inspection
Aubrey Falls Trading Post Restaurant,Highway 129,Villeneuve Township,2017-06-02,No infractions found at the time of inspection
Aubrey Falls Trading Post Restaurant,Highway 129,Villeneuve Township,2017-06-02,Food protected from potential contamination and adulteration
Aubrey Falls Trading Post Restaurant,Highway 129,Villeneuve Township,2016-12-01,No infractions found at the time of inspection
Aubrey Falls Trading Post Restaurant,Highway 129,Villeneuve Township,2016-12-01,No infractions found at the time of inspection
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-11-06,No infractions found at the time of inspection
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-11-06,Food is held at 4°C (40°F) or less
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-06-16,No infractions found at the time of inspection
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-06-16,No infractions found at the time of inspection
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-06-12,No infractions found at the time of inspection
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-06-12,Food protected from potential contamination and adulteration
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-06-12,Hot holding: minimum of 60°C (140°F) after cooking / rapid re-heating
Aurora's Hillside,760 Second Line,Sault Ste. Marie,2017-06-12,Re-heating: to original cooking temperature within 2 hours
Aurora's Westside,300  Second Line,Sault Ste. Marie,2017-10-24,No infractions found at the time of inspection
Aurora's Westside,300  Second Line,Sault Ste. Marie,2017-10-24,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Aurora's Westside,300  Second Line,Sault Ste. Marie,2017-07-17,No infractions found at the time of inspection
Aurora's Westside,300  Second Line,Sault Ste. Marie,2017-07-17,Separate raw foods from ready-to-eat foods during storage and handling
Aurora's Westside,300  Second Line,Sault Ste. Marie,2017-03-01,No infractions found at the time of inspection
Aurora's Westside,300  Second Line,Sault Ste. Marie,2017-03-01,No infractions found at the time of inspection
Bankside Cafe,33 Elizabeth Square,Elliot Lake,2017-06-21,No infractions found at the time of inspection
Bankside Cafe,33 Elizabeth Square,Elliot Lake,2017-06-21,No infractions found at the time of inspection
Bankside Cafe,33 Elizabeth Square,Elliot Lake,2016-04-05,No infractions found at the time of inspection
Bankside Cafe,33 Elizabeth Square,Elliot Lake,2016-04-05,No infractions found at the time of inspection
Bankside Cafe,33 Elizabeth Square,Elliot Lake,2015-06-09,No infractions found at the time of inspection
Bankside Cafe,33 Elizabeth Square,Elliot Lake,2015-06-09,No infractions found at the time of inspection
Barb's #1 Embroidary,223 Main Street,Thessalon,2017-06-20,No infractions found at the time of inspection
Barb's #1 Embroidary,223 Main Street,Thessalon,2017-06-20,No infractions found at the time of inspection
Barb's #1 Embroidary,223 Main Street,Thessalon,2016-06-14,No infractions found at the time of inspection
Barb's #1 Embroidary,223 Main Street,Thessalon,2016-06-14,No infractions found at the time of inspection
Barb's #1 Embroidary,223 Main Street,Thessalon,2015-06-24,No infractions found at the time of inspection
Barb's #1 Embroidary,223 Main Street,Thessalon,2015-06-24,No infractions found at the time of inspection
Barrels of Goodies,18B Woodward Ave.,Blind River,2016-05-31,No infractions found at the time of inspection
Barrels of Goodies,18B Woodward Ave.,Blind River,2016-05-31,No infractions found at the time of inspection
Barrels of Goodies,18B Woodward Ave.,Blind River,2015-06-19,Thermometers used to verify food preparation and storage temperatures;
Barrels of Goodies,18B Woodward Ave.,Blind River,2015-06-19,No infractions found at the time of inspection
Barrels of Goodies,18B Woodward Ave.,Blind River,2014-07-30,No infractions found at the time of inspection
Barrels of Goodies,18B Woodward Ave.,Blind River,2014-07-30,No infractions found at the time of inspection
Barsanti's Restaurant,85  Old Highway 17,Sault Ste. Marie,2017-11-30,No infractions found at the time of inspection
Barsanti's Restaurant,85  Old Highway 17,Sault Ste. Marie,2017-11-30,Hand washing basin with supplies of soap and paper towels in dispensers
Barsanti's Restaurant,85  Old Highway 17,Sault Ste. Marie,2017-05-16,No infractions found at the time of inspection
Barsanti's Restaurant,85  Old Highway 17,Sault Ste. Marie,2017-05-16,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Barsanti's Restaurant,85  Old Highway 17,Sault Ste. Marie,2016-11-17,No infractions found at the time of inspection
Barsanti's Restaurant,85  Old Highway 17,Sault Ste. Marie,2016-11-17,No infractions found at the time of inspection
Bayview Cookhouse & Pizzeria,9196 Highway 17,Bruce Mines,2017-10-17,No infractions found at the time of inspection
Bayview Cookhouse & Pizzeria,9196 Highway 17,Bruce Mines,2017-10-17,No infractions found at the time of inspection
Bayview Cookhouse & Pizzeria,9196 Highway 17,Bruce Mines,2017-04-27,No infractions found at the time of inspection
Bayview Cookhouse & Pizzeria,9196 Highway 17,Bruce Mines,2017-04-27,No infractions found at the time of inspection
Bayview Cookhouse & Pizzeria,9196 Highway 17,Bruce Mines,2016-11-23,No infractions found at the time of inspection
Bayview Cookhouse & Pizzeria,9196 Highway 17,Bruce Mines,2016-11-23,No infractions found at the time of inspection
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2016-08-02,No infractions found at the time of inspection
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2016-08-02,No infractions found at the time of inspection
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2016-07-25,Food protected from potential contamination and adulteration
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2016-07-25,Thermometers used to verify food preparation and storage temperatures;
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2016-07-25,No infractions found at the time of inspection
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2014-07-03,No infractions found at the time of inspection
Bellevue Park Concession,269  Queen Street,Sault Ste. Marie,2014-07-03,No infractions found at the time of inspection
Ben R. McMullin P.S. Serving Kitchen,24 Paradise Ave.,Sault Ste. Marie,2016-02-17,No infractions found at the time of inspection
Ben R. McMullin P.S. Serving Kitchen,24 Paradise Ave.,Sault Ste. Marie,2016-02-17,No infractions found at the time of inspection
Bento Sushi Bar,44 Great Northern Road,Sault Ste. Marie,2017-11-28,No infractions found at the time of inspection
Bento Sushi Bar,44 Great Northern Road,Sault Ste. Marie,2017-11-28,No infractions found at the time of inspection
Bento Sushi Bar,44 Great Northern Road,Sault Ste. Marie,2017-06-21,No infractions found at the time of inspection
Bento Sushi Bar,44 Great Northern Road,Sault Ste. Marie,2017-06-21,No infractions found at the time of inspection
Bento Sushi Bar,44 Great Northern Road,Sault Ste. Marie,2016-11-30,No infractions found at the time of inspection
Bento Sushi Bar,44 Great Northern Road,Sault Ste. Marie,2016-11-30,No infractions found at the time of inspection
Best Northern Restaurant,150 Highway 17 South,Wawa,2017-06-21,No infractions found at the time of inspection
Best Northern Restaurant,150 Highway 17 South,Wawa,2017-06-21,No infractions found at the time of inspection
Best Northern Restaurant,150 Highway 17 South,Wawa,2016-04-29,No infractions found at the time of inspection
Best Northern Restaurant,150 Highway 17 South,Wawa,2016-04-29,No infractions found at the time of inspection
Best Northern Restaurant,150 Highway 17 South,Wawa,2015-10-19,No infractions found at the time of inspection
Best Northern Restaurant,150 Highway 17 South,Wawa,2015-10-19,No infractions found at the time of inspection
Big Daddy's Burgers,1127 Great Northern Road,Sault Ste. Marie,2017-09-22,No condemnation / seizure required
Big Daddy's Burgers,1127 Great Northern Road,Sault Ste. Marie,2017-09-22,Food is held at 4°C (40°F) or less
Big Daddy's Burgers,1127 Great Northern Road,Sault Ste. Marie,2017-06-29,No infractions found at the time of inspection
Big Daddy's Burgers,1127 Great Northern Road,Sault Ste. Marie,2017-06-29,Food is held at 4°C (40°F) or less
Big Daddy's Burgers,1127 Great Northern Road,Sault Ste. Marie,2016-06-13,No infractions found at the time of inspection
Big Daddy's Burgers,1127 Great Northern Road,Sault Ste. Marie,2016-06-13,No infractions found at the time of inspection
Big G's Pizza,17B Woodward,Blind River,2017-10-02,No infractions found at the time of inspection
Big G's Pizza,17B Woodward,Blind River,2017-10-02,No infractions found at the time of inspection
Big G's Pizza,17B Woodward,Blind River,2017-09-20,Food is held at 4°C (40°F) or less
Big G's Pizza,17B Woodward,Blind River,2017-09-20,No infractions found at the time of inspection
Big G's Pizza,17B Woodward,Blind River,2017-04-10,No infractions found at the time of inspection
Big G's Pizza,17B Woodward,Blind River,2017-04-10,Food is held at 4°C (40°F) or less
Black Creek Outfitters,Box 1500,Thessalon,2017-07-17,No infractions found at the time of inspection
Black Creek Outfitters,Box 1500,Thessalon,2017-07-17,No infractions found at the time of inspection
Black Creek Outfitters,Box 1500,Thessalon,2016-08-18,No infractions found at the time of inspection
Black Creek Outfitters,Box 1500,Thessalon,2016-08-18,No infractions found at the time of inspection
Black Creek Outfitters,Box 1500,Thessalon,2015-11-02,No infractions found at the time of inspection
Black Creek Outfitters,Box 1500,Thessalon,2015-11-02,No infractions found at the time of inspection
Blind River Best Start Hub,17 Hanes,Blind River,2017-09-18,No infractions found at the time of inspection
Blind River Best Start Hub,17 Hanes,Blind River,2017-09-18,No infractions found at the time of inspection
Blind River Best Start Hub,17 Hanes,Blind River,2017-03-06,No infractions found at the time of inspection
Blind River Best Start Hub,17 Hanes,Blind River,2017-03-06,Thermometers used to verify food preparation and storage temperatures;
Blind River Best Start Hub,17 Hanes,Blind River,2017-03-06,Thorough cooking to minimum internal food temperature
Blind River Best Start Hub,17 Hanes,Blind River,2016-09-15,No infractions found at the time of inspection
Blind River Best Start Hub,17 Hanes,Blind River,2016-09-15,No infractions found at the time of inspection
Blind River Community Center Kitchen,110 Indiana Avenue,Blind River,2016-12-22,No infractions found at the time of inspection
Blind River Community Center Kitchen,110 Indiana Avenue,Blind River,2016-12-22,No infractions found at the time of inspection
Blind River Community Center Kitchen,110 Indiana Avenue,Blind River,2015-11-27,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Blind River Community Center Kitchen,110 Indiana Avenue,Blind River,2015-11-27,No infractions found at the time of inspection
Blind River Community Center Kitchen,110 Indiana Avenue,Blind River,2014-11-04,No infractions found at the time of inspection
Blind River Community Center Kitchen,110 Indiana Avenue,Blind River,2014-11-04,No infractions found at the time of inspection
Blind River Community Centre,110 Indiana Ave,Blind River,2016-12-22,No infractions found at the time of inspection
Blind River Community Centre,110 Indiana Ave,Blind River,2016-12-22,No infractions found at the time of inspection
Blind River Community Centre,110 Indiana Ave,Blind River,2015-12-10,No infractions found at the time of inspection
Blind River Community Centre,110 Indiana Ave,Blind River,2015-12-10,No infractions found at the time of inspection
Blind River Community Centre,110 Indiana Ave,Blind River,2015-11-27,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Blind River Community Centre,110 Indiana Ave,Blind River,2015-11-27,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Blind River Community Centre,110 Indiana Ave,Blind River,2015-11-27,Food is held at 4°C (40°F) or less
Blind River Community Centre,110 Indiana Ave,Blind River,2015-11-27,Hand washing basin with supplies of soap and paper towels in dispensers
Blind River Community Centre,110 Indiana Ave,Blind River,2015-11-27,Separate hand washing basin provided for food handlers
Blind River Curling Club,45 Centre Street,Blind River,2017-10-10,No infractions found at the time of inspection
Blind River Curling Club,45 Centre Street,Blind River,2017-10-10,Toxic / poisonous substances (chemicals/pesticides) to be stored separately from food
Blind River Curling Club,45 Centre Street,Blind River,2016-11-21,No infractions found at the time of inspection
Blind River Curling Club,45 Centre Street,Blind River,2016-11-21,No infractions found at the time of inspection
Blind River Curling Club,45 Centre Street,Blind River,2015-11-23,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Blind River Curling Club,45 Centre Street,Blind River,2015-11-23,No infractions found at the time of inspection
Blind River Early Learning Centre - St. Mary's,25 Michigan,Blind River,2017-10-18,No infractions found at the time of inspection
Blind River Early Learning Centre - St. Mary's,25 Michigan,Blind River,2017-10-18,No infractions found at the time of inspection
Blind River Early Learning Centre - St. Mary's,25 Michigan,Blind River,2017-02-15,No infractions found at the time of inspection
Blind River Early Learning Centre - St. Mary's,25 Michigan,Blind River,2017-02-15,No infractions found at the time of inspection
Blind River Early Learning Centre - St. Mary's,25 Michigan,Blind River,2016-11-07,No infractions found at the time of inspection
Blind River Early Learning Centre - St. Mary's,25 Michigan,Blind River,2016-11-07,No infractions found at the time of inspection
Blind River Emergency Food Bank,Colonization Rd.,Blind River,2017-08-31,No infractions found at the time of inspection
Blind River Emergency Food Bank,Colonization Rd.,Blind River,2017-08-31,No infractions found at the time of inspection
Blind River Emergency Food Bank,Colonization Rd.,Blind River,2016-09-15,No infractions found at the time of inspection
Blind River Emergency Food Bank,Colonization Rd.,Blind River,2016-09-15,No infractions found at the time of inspection
Blind River Emergency Food Bank,Colonization Rd.,Blind River,2015-11-19,No infractions found at the time of inspection
Blind River Emergency Food Bank,Colonization Rd.,Blind River,2015-11-19,No infractions found at the time of inspection
Blind River Golf Course Kitchen,303 Eldorado Road,Blind River,2017-05-16,No infractions found at the time of inspection
Blind River Golf Course Kitchen,303 Eldorado Road,Blind River,2017-05-16,Food is held at 4°C (40°F) or less
Blind River Golf Course Kitchen,303 Eldorado Road,Blind River,2016-08-23,No infractions found at the time of inspection
Blind River Golf Course Kitchen,303 Eldorado Road,Blind River,2016-08-23,No infractions found at the time of inspection
Blind River Golf Course Kitchen,303 Eldorado Road,Blind River,2016-08-04,Proper use and storage of clean utensils (including single service utensils)
